"","id","name","defaultYield","yieldUnit","cropNotes","fpp_type","fpp_crop_id"
"1","740","Alfalfa-Grass, cool season, hay",1.5,"ton/ac","Mixed Perennial, hay or forage production, example alfalfa with cool season grass,
Suggest harvest:  Harvest, hay, grass or legume, ","primary",NA
"2","741","Alfalfa-Grass, warm season, hay",4,"ton/ac","Mixed Perennial, hay or forage production, example alfalfa with warm season grass,
Suggest harvest:  Harvest, hay, grass or legume, ","primary",NA
"3","742","Alfalfa-Grass, warm season, release",6.5,"ton/ac","Archive:
This crop record was cloned from the Alfalfa, released growing crop record.  ARS and NRCS have worked to have this crop show some growth
at the time Oats or Other ratoon crops are gown.  MAS 121-26-07
Size ranges
J.J. rquez-Ortiz, J.F.S. Lamb, L.D. Johnson, D.K. Barnes and R.E. Stucker, 1999, Heritability of crown traits in alfalfa, Crop Science, Vol 39, Issue 1 pgs. 38-43
Crown Depth (distance from the soil level to the top of the tap root) - 0.5cm to 5cm
Crown width (just below the soil surface) - 2cm to 12cm or greater
Number of crown stems - 2 to 10 or more
Crown stem width - 2mm to 6mm or greater
Number of crown buds - none to 12 or more

D.K. Barnes, R.B. Pearce, G.E. Carlson, R.H. Hart, and C.H. Hanson. 1969. SPecific Leaf Weight Differences in Alfalfa Associated with Variety and
Plant Age. Crop Science, Vol 9, pgs. 421-423.
Values of Specific leaf weight measured in the paper varied from 2.15 to 4.3, with early season growth mostly in the area of 2.15 to 2.72 mg/cm^2
Conversion to m^2/kg is * 10^6 mg/kg * 10^-4 m^2/cm^2 = 100 / mg/cm^2

2.15 mg/cm^2 = 100 / 2.15 m^2/kg = 46.5 m^2/kg, 100 / 2.72 = 36.8, 100 / 4.3 = 23.3

M. H. Hall, C. J. Nelson, J. H. Coutts and R. C. Stout. 2004. Effect of Seeding Rate on Alfalfa Stand Longevity. Agron. J. 96:717-722
Stem densities for the MO94 study (data not presented) were not different among seeding rates at any sampling time. There were 623 stems m–2 13 MAP
and only 350 stems m–2 by 25 MAP. Stem density remained nearly constant at that level through 49 MAP. During the same time period, plant density
declined from an average of 100 down to 25 plants m–2. This means that there was a fourfold increase in stems per plant from 25 to 49 MAP during
the same time period. Thereafter, stem density continued to decline to 290 and 260 stems m–2 at 63 and 73 MAP, respectively, while plant density fell
below 15 plants m–2 during the same time period. Crowns develop stems in response to light (Cowett and Sprague, 1962) and apparently could not
continue to maintain high stem density with the thin stand and older plants.

data as shown above.
MAP = months after planting
SPM2 = stems per square meter
PPM2 = plants per square meter
SPP = stems per plant

MAP	SPM2	PPM2	 SPP
13	623	100	62.3
25	350	36	9.7
49	350	25	14
63	290	16	18
73	260	13	20

With the critical period of alfalfa being establishment, a stem count, equals plant count of 400 stems per square meter is used to try and get early cover.

Fick, G.W., D.A. Holt, D.G. Lugg. 1988. Environmental Physiology and Crop Growth. in A.A. Hanson, D.K. Barnes, R.R. Hill , Jr., eds. 1988 Alfalfa and Alfalfa
Improvement. Agronomy Monograph Number 29. American Society of Agronomy.
page 181. Growth temperatures: GDD base from 0 to 5 C, varies depending on time of year. GDD totals 0 C base, 700 to bud, 880 to first flower,
1075 to full bloom, 1900 to ripe seed stages. Suggests a GDD max temperature around 30 C

Changed the cover to mass value to match Fosters finest stem curve, Small Grain and Alfalfa.  Reference pg. 179 Ag Handbook 703.
No crop has a larger number (finer stems) than .000586.  This matches RUSLE2.  MAS 12-21-10

The biomass adjustment factor has been set to 1.0 from the 0.6 that Fred had.  The biomass conversion eff factor was moved from 30 to 24 to match yield
of the standard alfalfa run in Moses Lake, WA and now in Yuma, AZ.  The record runs a little under the 6 ton/ac yield in ML, and somewhat over the 10 t/ac for
Yuma.  The seed weight was increased from 0.00007 to 0.0006 to increase the intial growth of the fall planting.There is about 1500 lbs of growth going into
winter in WA and about 2400 lbs/ac at the first harvest in AZ.    Yuma will need to lower the Biomass Adjustment factor to 0.8 to get the 12 t/ac yield needed.
MAS 7-6-11
","primary",NA
"4","738","Alfalfa, hay",6.5,"ton/ac","Perennial, hay or forage production,
Suggest harvest:  Harvest, hay, grass or legume, ","primary","8"
"5","737","Alfalfa, hay, release",6.5,"ton/ac","Perennial, hay or forage production, crop released with harvest oprn for current crop,
suggest harvest for the released perennial:  Harvest, hay, grass or legume,","primary","8"
"6","739","Alfalfa, seed production",1200,"lbs/ac","Perennial, seed production,
Suggest harvest:  Harvest, hay, grass or legume, seed,","primary",NA
"7","743","Artichoke",15000,"lbs/ac","Perennial, seed production,
Suggest harvest:  Harvest, hay, grass or legume, seed,","primary",NA
"8","744","Asparagus",2000,"lbs/ac","Perennial, vegetable above ground, suggest harvest:  Harvest hand pick, final, ","primary",NA
"9","745","Barley, spring, grain",55,"bu/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary","48"
"10","746","Barley, winter, grain",50,"bu/ac","Archive:
Adjusted the Heat Units from the 3150 down to 2400 (same as WW)
Tested in Delaware with John Timmons run.  8-18-09  MAS","primary","48"
"11","747","Bean, field, dry",1400,"lb/ac","Archive:
RUSLE: Field Beans fair yield-1400 lbs Rev.2/6/95 DTL rev 061801 DTL","primary",NA
"12","748","Bean, Pea, field, green",8100,"lb/ac","Annual, green or fresh market bean or pea production, examples:  green snap, Trellis, green pea production, suggest harvest oprn:  Harvest, hand pick, last or mechanical, ","primary",NA
"13","750","Brassica, cover, forage",1200,"lb/ac","Perennial, seed production,
Suggest harvest:  Harvest, hay, grass or legume, seed,","cover",NA
"14","749","Brassica, cover, forage, release",3000,"lbs/ac","Archive:
This record is a clone from Cereal Rye interseeded cover crop.  1-13-09    This is the cover crop released by the harvest of the silage or soybeans,
etc. when the cover was previously seeded in growing corn silage or soybeans, etc.   REV 10/15/03 DTL

Cloned 11-4-07.  Added 1000 lbs/ac biomass at seedng in the oz/plant column.  MAS

I tried to use the brassica file and did not get it to grow in the colder sites.  MAS 1-13-09","cover",NA
"15","751","Buckwheat, grain",25,"bu/ac","Archive:
3/16/95 JBC CORE buckwheat 30 bushel yield, data from Farmer's Bul. 1835, Growing Buckwheat,
CPIDS, &amp; Martin and Leonard '49, pp.862-870. REV 61801 DTL
Cloned mustard from ARS and changed planting rate, yield, and harvest index.  5/3/07 MAS

Changed the cover to mass value to match Fosters finest stem curve, Small Grain and Alfalfa.  Reference pg. 179 Ag Handbook 703.
No crop has a larger number (finer stems) than .000586.  This matches RUSLE2.  MAS 12-21-10

Changed the percenage of the flowering mass harvested from 0.4 to 0.8 as Fred Fox suggested to correct
an error message.  Moved the days of growth from 90 to 70 based on a paper Buckwheat,
Alternative Fiedl Crops Manual, University of Wisconsin Ext.  E.S. Oplinger Dept of Ag. Nov 1989.
He said the crop will grow in 10 to 12 weeks (70 to 84 days).  Moved the internal biomass adjustment
factor from 25 to 40 to reduce the External factor down from the 3.9 on a run in Clay Co. MN using a
CMZ 1 Buckwheat template.  After adjustment it is between 2 and 3 now.  12-28-10  MAS","primary",NA
"16","752","Camelina, grain",690,"lbs/ac","Archive:
Plant population comes from James M. Krall and David D. Basltensperger.
Rusle notes:Grown in Northern Plains, High quality oil seed crop.  Yield is dryland.
Camelina, spring planted for oil, seed or biodiesel.  Based on data from NW Agr. Research Ctr., Creston, MT, 2005.  tmg; 032307.
Modified from vegetation record, Flax (lbs), Utah conditions  based on 840 pound yield. 032607 DTL

WEPS MAS 7/31/07
Residue yield  ratio from RUSLE.
Tested in Cascade Co. MT. with Wheat, spring-Camelina-Fallow, conv, CMZ 6.
Crop factors adjusted for very cold growth for early planting date (march 15).","primary",NA
"17","753","Canola, spring, grain",1200,"lb/ac","Annual, broadleaf, grain production, suggest harvest oprn: Harvest, killing crop with percent standing stubble,  ","primary",NA
"18","754","Canola, winter, grain",1100,"lb/ac","Annual, cool season grass, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"19","755","Carrot, fresh market",28400,"lbs/ac","Annual, broadleaf, below ground vegetable, suggest harvest:  Harvest, dig root crop, ","primary",NA
"20","756","Carrot, processing",30,"ton/ac","Annual, broadleaf, below ground vegetable, suggest harvest:  Harvest, dig root crop, ","primary",NA
"21","757","Cassava, tubers",26000,"lbs/ac","Annual, broadleaf, below ground vegetable, suggest harvest:  Harvest, dig root crop, ","primary",NA
"22","758","Clover, perennial, forage, release",3,"ton/ac","Perennial, hay or forage, crop released with harvest, release crop operation,
suggest harvest for the released perennial:  Harvest, hay, grass or legume, ","cover",NA
"23","759","Clover, red, alsike, forage",3,"ton/ac","Perennial, hay or forage, suggest harvest oprn:  Harvest, hay, grass or legume, ","cover",NA
"24","760","Clover, red, alsike, seed production",1500,"lb/ac","Perennial, broadleaf, legume, for seed production,
suggest harvest:  Harvest, perennial, grass or legume seed,","cover",NA
"25","761","Clover, sweet, forage",3,"ton/ac","Perennial, hay or forage, suggest harvest oprn:  Harvest, hay, grass or legume, ","cover",NA
"26","762","Clover, sweet, seed production",1500,"lb/ac","Annual, broadleaf, root crop harvested for seed,
suggest harvest:  Harvest, perennial, grass or legume seed,","cover",NA
"27","763","Corn, grain, seed",112,"bu/ac","Annual, grass, warm season, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary","1"
"28","764","Corn, pop, grain",11000,"lbs/ac","Annual, grass, warm season, grain production,
suggest harvest oprn: Harvest, killing crop with percent standing stubble, ","primary",NA
"29","765","Corn, silage",23,"ton/ac","Annual, grass, warm season, high moisture silage production,
suggest harvest:  Harvest,silage, ","primary","46"
